Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved
Jun 30 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 08 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 08 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 08 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 08 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 07 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 07 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 07 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 06 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 06 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 06 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 05 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 05 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 05 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 04 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 04 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 04 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 03 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 03 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 03 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 03 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 02 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 02 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 02 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 01 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 01 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Jun 01 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 31 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 31 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 31 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 30 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 30 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 30 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 08 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 08 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 08 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 07 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 07 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 07 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 06 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 06 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 06 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 05 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 05 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 05 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 05 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 04 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 04 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 04 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 03 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 03 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 03 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 02 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 02 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 02 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 01 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 01 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
May 01 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 30 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 30 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 30 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 30 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 29 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 28 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 27 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 26 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 25 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 24 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 23 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 22 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 21 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 20 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 19 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 18 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 17 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 16 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 15 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 14 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 13 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 12 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 11 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 10 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 09 2024,SAND,0,2588819444.00,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 08 2024,SAND,$0.61,0,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
Apr 08 2024,SAND,$0.61,0,2588819444.00,652500000.00,635277777.00,360000000.00,941041667.00
